id,question,solution,difficulty
1,"https://www.geeksforgeeks.org/check-whether-jigsaw-puzzle-solveable-or-not/
",Given a special Jigsaw puzzle consisting of N rows and M columns all identical pieces. Every piece has three tabs and one blank. The task is to check if the puzzle is solvable by placing the pieces in such a way that the tab of one piece fits perfectly into a blank of other piece.,easy
2,"https://www.geeksforgeeks.org/puzzle-man-fell-in-well-puzzle/
",A man fell in a 50m deep well. He climbs 4 meters up and slips 3 meters down in one day. How many days would it take for him to come out of the well?,easy
3,"https://www.geeksforgeeks.org/puzzle-three-squares/
","Given four sticks of length ‘a’ and four more sticks of length ‘b’. The length of ‘b’ is exactly half of the length of ‘a’. The task is to make three equal squares using the given 8 sticks.
",easy
4,"https://www.geeksforgeeks.org/puzzle-find-the-culprit/
","Joe is a person who can’t keep his secrets. He is that much careless that all his relatives and friends know his Debit Card PIN. Today Joe makes a profit of $1000. So he decided to throw a party and he invited his 3 friends: Leena, Paul, and Andrew. He was in a hurry to reach the home as soon as possible. Coming back to the home he stopped to buy some snacks. While taking out his wallet from his right pocket, by mistake he dropped some money on the ground and didn’t notice that. And this type of incident mostly happens.",medium
5,"https://www.geeksforgeeks.org/birthday-puzzle/
","Puzzle:On a new year day, two old friends (A and B) meet at a party. As they met after a long time person B wanted person A to guess his birthday. As both friends are not in touch for a long time person A was unable to guess his birthday. So person B decided to give some hints. Below are the hints:",easy
6,"https://www.geeksforgeeks.org/ratio-of-area-of-one-circle-to-the-equilateral-triangle-when-three-equal-circles-are-placed-inside-an-equilateral-triangle/
",Given three equal circles that are placed inside an equilateral triangle such that every circle is tangential to the sides of the equilateral triangle and to other circles. The task is to find the ratio of the area of one circle to the area of the equilateral triangle. ,medium
7,"https://www.geeksforgeeks.org/puzzle-guess-the-bit-string/
","Puzzle: Your friend thinks of an N bit string that will refer to it as a code. The task is to guess the code by asking your friend a series of queries. In each query, you can provide your friend with an N bit string of your choice, and your friend will tell you the number of bits in your string that coincides with the corresponding bits in the code. For example, if the code is 01011 and your query string is 11001, then the answer will be three because the two strings have the same bits on the second, third, and fifth positions. Devise an algorithm that can identify any N bit code in no more than N query.",medium
8,"https://www.geeksforgeeks.org/puzzle-form-three-equilateral-triangles/
",Suppose you have a regular hexagon made up of matchsticks with three diagonals in it. The task is to convert the given hexagon into three equilateral triangles by moving only 4 matchsticks.,medium
9,"https://www.geeksforgeeks.org/puzzle-greek-cross-and-square/
","Given a symmetrical Greek cross, the task is to cut the symmetrical Greek cross into five pieces, so that one piece shall be a smaller symmetrical Greek cross and the remaining four pieces will fit together and form a perfect square. ",hard
10,"https://www.geeksforgeeks.org/puzzle-six-houses-p-q-r-s-t-and-u/
","There are three houses on each side of the road. These six houses are labeled as P, Q, R, S, T, and U. The houses are of different colors, namely, Red, Blue, Green, Orange, Yellow, and White. The houses are of different heights.",medium
11,"https://www.geeksforgeeks.org/puzzle-joint-family-of-seven-persons-l-m-n-o-p-q-and-r/
","In a joint family of seven persons L, M, N, O, P, Q, and R, two are married couples. R is a housewife and her husband is a lawyer. N is the wife of M, L is an engineer and is the granddaughter of R, and O is the father-in-law of N, a doctor, and father of P, a professor. P and M are siblings of the same gender. Q is L’s brother and M’s son. How is L related to O and how many males are there in the family. ",easy
12,"https://www.geeksforgeeks.org/count-of-equilateral-triangles-of-unit-length-possible-from-a-given-hexagon/
","Given an array S[] consisting of the lengths of the 6 sides of a Hexagon, the task is to calculate the number of equilateral triangles of unit length that can be made from the given hexagon."
13,"https://www.geeksforgeeks.org/puzzle-find-the-box-which-contains-box-of-11-gm-cigarettes/
",Suppose you have 10 boxes and each box contains 10 Cigarettes.,medium
14,"https://www.geeksforgeeks.org/puzzle-find-the-overweight-islander/
","There are 12 men on an island. 11 weigh exactly the same, but one of them is slightly lighter or heavier. There is a seesaw to determine who is the odd one out. Find out the minimum number of times the seesaw will be used.",easy
15,"https://www.geeksforgeeks.org/count-of-ordered-pairs-x-y-satisfying-the-equation-1-x-1-y-1-n/
","Given a positive integer N, the task is to find the number of ordered pairs (X, Y) where both X and Y are positive integers, such that they satisfy the equation 1/X + 1/Y = 1/N.",easy
16,"https://www.geeksforgeeks.org/puzzle-three-brothers-travelled-by-road/
","Question :
Three brothers, R, S and M, travelled by road. They all left the college at the same time – 12 noon. The description of the motions of the three are detailed below –"
17,"https://www.geeksforgeeks.org/number-of-containers-that-can-be-filled-in-the-given-time/
","Given a number N and a time X unit, the task is to find the number of containers that are filled completely in X unit if containers are arranged in pyramid fashion as shown below. "
18,"https://www.geeksforgeeks.org/find-temperature-of-missing-days-using-given-sum-and-average/
","Given integers x and y which denotes the average temperature of the week except for days Day1 and Day2 respectively, and the sum of the temperature of Day1 and Day2 as S, the task is to find the temperature of the days Day1 and Day2.Examples:  ",easy
19,"https://www.geeksforgeeks.org/puzzle-the-counters-and-rectangular-board/
","Given 3N counters where N &gt;= 1, there are three types of counters Red, White, and Blue all of them equal in count i.e., N and a rectangular board with 3 rows and N columns are filled with counters, the task is to rearrange the counters such that each column has counters of three different colors. The only operation allowed is to swap the counters in the same row. Design an algorithm to accomplish this task or prove that such an algorithm does not exist.",medium
20,"https://www.geeksforgeeks.org/puzzle-planning-an-exhibition/
","Puzzle: A museum has an exhibition space of 16 rooms. There is a door between every pair of horizontally and vertically adjacent rooms. In addition, each room on the north and south side of the building has a door leading outside. In planning a new exhibition, the curator has to decide which of the doors need to be open, so that a visitor can enter the exhibition through the door on the north side, visit each and every room exactly once, and gets out through a door on the south side. Also, the number of doors open should be minimum.",easy
21,"https://www.geeksforgeeks.org/puzzle-place-numbers-1-to-9-in-a-circle-such-that-sum-of-every-triplet-in-straight-line-is-15/
","Place the numbers 1 to 9 in a circle, so that wherever there are three in a straight line they shall add up to 15.",easy
22,"https://www.geeksforgeeks.org/puzzle-who-wins-the-race-on-a-square-field-abcd-of-40-acres/
","ABCD is a square field of 40 acres. The line BE is a straight path, and E is 110 yards from D. In a race Adam runs direct from A to D, but  Brown has to start from B, go from B to E, and thence to D. Each keeps to a uniform speed throughout, and when Brown reaches E, Adams is 30 yards ahead of him. Which wins the race, and by how much?  ",medium
23,"https://www.geeksforgeeks.org/puzzle-choose-the-game-of-rolling-dice/
",Puzzle: You are risk-averse person. There are Two games are offered to you. ,easy
24,"https://www.geeksforgeeks.org/puzzle-maximum-pieces-that-can-be-cut-from-a-circle-using-6-straight-lines/
",PUZZLE:,medium
25,"https://www.geeksforgeeks.org/puzzle-connect-9-circles-each-arranged-at-center-of-a-matrix-using-3-straight-lines/
",Consider 9 circles each arranged at the center of cells of a 2-D matrix of shape 3*3. Draw 3 straight lines without removing pen from paper such that each of the 9 circles is in contact with at least one line. ,medium
26,"https://www.geeksforgeeks.org/maximum-number-of-objects-that-can-be-created-as-per-given-conditions/
",Given N items of type-1 and M items of type-2. An object can be created from 2 items of type-1 and 1 item of type-2 or 2 items of type-2 and 1 item of type-1 pieces. The task is to find the maximum number of objects that can be created from given number of items of each type.Examples:  ,hard
27,"https://www.geeksforgeeks.org/puzzle-single-elimination-tournament/
","In a single-elimination tournament, such as the tennis Grand Slam championships – every losing player is immediately eliminated from the subsequent rounds until a single player is determined. If there are N players at the beginning of the tournament, answer the following questions.",easy
28,"https://www.geeksforgeeks.org/puzzle-the-circle-of-lights/
","There is a circle of  N &gt; 2 lights with a switch next to each of them. Each switch can be flipped between two positions, thereby toggling the on/off states of three lights: its own and the two lights adjacent to it. Initially, all the lights are off. Design an algorithm for turning all the lights on by flipping the minimum number of switches.",hard
29,"https://www.geeksforgeeks.org/puzzle-50-red-marbles-and-50-blue-marbles/
","Give two boxes B1 and B2 one have 50 red marbles and other have 50 blue marbles. A ball is selected randomly from any of the box and the task is to maximize the probability of selecting a red ball, by reshuffling marbles in both the boxes. ",medium
30,"https://www.geeksforgeeks.org/the-fox-the-duck-and-a-circular-pond/
","A Duck that is being chased by a Fox saves itself by sitting at the centre of a circular pond of radius r. The Duck can only fly from land and not able to fly from the water. Furthermore, Fox cannot swim. The speed of the Fox is four times the speed of the Duck. Assuming that the Duck and Fox are perfectly smart, is it possible for the Duck to ever reach the edge of the pond and fly away to its escape from the ground?",hard
31,"https://www.geeksforgeeks.org/puzzle-the-three-pile-trick/
","A magician asks a person to select a card from a pack of 27 cards and return it back without showing it back to the magician. After the choice is made, the magician shuffles the pack and deals all the cards face up into three piles, one card to each pile in turn. The person is now asked which pile contains the card. The pile is then placed between the other two piles and without any shuffling, the cards are again distributed again into three piles. The same procedure is repeated again and for the final time the cards are distributed in three piles and the person is asked about the pile containing the card. The magician then names the selected card. Explain the trick. ",hard
